title,location,price,sqft,price_per_sqft,lat,lon
3 BHK Apartment for Sale in Madhavaram Chennai,Madhavaram Chennai,16000000,1544,10362,13.1484947,80.2078028
3 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7000000,1056,6628,12.8358864,80.2295898
3 BHK Apartment for Sale in Karapakkam Chennai,Karapakkam Chennai,13500000,920,14673,12.9122358,80.2290329
2 BHK Villa for Sale in Madipakkam Chennai,Madipakkam Chennai,22500000,1200,18750,12.9535075,80.1933628
2 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,4200000,686,6122,12.8439997,80.0603546
3 BHK Apartment for Sale in 2nd Block Mogappair West Chennai,2nd Block Mogappair West Chennai,19800000,1530,12941,13.0880622,80.1846054
3 BHK Apartment for Sale in Puzhuthivakkam Chennai,Puzhuthivakkam Chennai,11500000,1208,9519,12.9691428,80.2062626
2 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,3800000,550,6909,12.8439997,80.0603546
2 BHK Apartment for Sale in Padur Chennai,Padur Chennai,5900000,888,6644,12.8036899,80.223749
2 BHK  House for Sale in Virugambakkam Chennai,Virugambakkam Chennai,9500000,1200,7916,13.038104,80.1890642
2 BHK Villa for Sale in Sriperumbudur Chennai,Sriperumbudur Chennai,4500000,1200,3750,12.9701785,79.9520655
3 BHK Apartment for Sale in Mount Road Chennai,Mount Road Chennai,78000000,2730,28571,13.0317764,80.2432715
3 BHK Apartment for Sale in Nungambakkam Chennai,Nungambakkam Chennai,45000000,1650,27272,13.0528717,80.2498326
3 BHK Apartment for Sale in Sholinganallur Chennai,Sholinganallur Chennai,21800000,1726,12630,12.9825181,80.252674
3 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,19800000,100,198000,12.9840501,80.2523098
2 BHK Builder Floor for Sale in Korattur Chennai,Korattur Chennai,6200000,453,13686,13.1115484,80.1846272
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,5400000,654,8256,12.926285,80.1978774
2 BHK Apartment for Sale in Avadi Chennai,Avadi Chennai,3700000,477,7756,13.0142534,80.1905788
3 BHK  House for Sale in Velachery Chennai,Velachery Chennai,32000000,2200,14545,13.0105862,80.2232935
2 BHK Apartment for Sale in Kolapakkam Chennai,Kolapakkam Chennai,3600000,680,5294,13.0142333,80.1561762
3 BHK Apartment for Sale in Egmore Chennai,Egmore Chennai,30000000,1283,23382,13.0783583,80.2611685
3 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,8500000,1500,5666,12.926285,80.1978774
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,7800000,1100,7090,12.9050095,80.1968629
2 BHK Apartment for Sale in Nanganallur Chennai,Nanganallur Chennai,8420000,796,10577,12.9849711,80.172463
2 BHK  House for Sale in Avadi Chennai,Avadi Chennai,6800000,893,7614,13.0142534,80.1905788
3 BHK Apartment for Sale in Perambur Chennai,Perambur Chennai,13000000,1400,9285,13.1121242,80.245022
3 BHK  House for Sale in Kolapakkam Chennai,Kolapakkam Chennai,14000000,2000,7000,13.0142333,80.1561762
3 BHK  House for Sale in Chepauk Chennai,Chepauk Chennai,12000000,567,21164,13.0662877,80.280408
3 BHK Apartment for Sale in Sowcarpet Chennai,Sowcarpet Chennai,6500000,1100,5909,13.0832825,80.2765097
3 BHK Apartment for Sale in AGS Colony Velachery Chennai,AGS Colony Velachery Chennai,22500000,1800,12500,12.9782313,80.2120528
3 BHK  House for Sale in Kotturpuram Chennai,Kotturpuram Chennai,89000000,1500,59333,13.0166023,80.2445275
2 BHK Apartment for Sale in Thirumullaivoyal Chennai,Thirumullaivoyal Chennai,5000000,826,6053,13.1309288,80.131225
2 BHK Builder Floor for Sale in Perumbakkam Chennai,Perumbakkam Chennai,5500000,972,5658,12.9050095,80.1968629
3 BHK Apartment for Sale in Ashok Nagar Chennai,Ashok Nagar Chennai,20000000,1300,15384,13.0305162,80.2158864
2 BHK  House for Sale in Oragadam Chennai,Oragadam Chennai,3800000,1136,3345,12.926285,80.1978774
3 BHK Apartment for Sale in Korattur Chennai,Korattur Chennai,12000000,937,12806,13.1115484,80.1846272
3 BHK Builder Floor for Sale in Porur Chennai,Porur Chennai,13100000,1330,9849,13.0320131,80.158304
2 BHK Apartment for Sale in Padur Chennai,Padur Chennai,8400000,1028,8171,12.8036899,80.223749
3 BHK Apartment for Sale in Ayanambakkam Chennai,Ayanambakkam Chennai,7500000,1155,6493,13.0722208,80.1610155
2 BHK  House for Sale in Vandalur Chennai,Vandalur Chennai,4400000,900,4888,12.8429461,80.15541
